placa,ano,cor,modelo,marca,valor
XXL9201,1998,AMARELO,off road,vw,179676.35
RXW9022,1994,BRANCO,standart,cherry,110386.12
MRS1006,2013,VERMELHO,luxo,gm,243210.59
MEA3243,2016,AZUL,off road,vw,141577.42
ZPM3954,2000,VERMELHO,luxo,gwm,198866.62
ERF3163,2015,AMARELO,luxo,gwm,141979.33
JLZ8694,2002,VERMELHO,off road,vw,174639.30
OFV2758,1999,PRETO,luxo,gwm,140025.66
GQX3739,2001,VERDE,standart,fiat,106746.35
OBP2576,2018,VERDE,luxo,vw,216055.15
NUO4835,2021,PRETO,luxo,ford,209428.44
XGR2651,2002,VERDE,off road,gm,201605.33
CRG6728,2011,AZUL,off road,gm,165347.37
XGK2420,2025,VERMELHO,luxo,ford,251371.64
QLF5115,2023,BRANCO,standart,cherry,148302.32
EMH9168,2004,VERMELHO,luxo,cherry,218920.50
AYK6280,2015,PRETO,off road,gwm,149807.58
JFT4240,2021,AMARELO,off road,gwm,140450.73
KOK5654,1992,LARANJA,standart,gm,85304.90
HJW2593,1991,AMARELO,luxo,fiat,124009.25
BKM9931,2002,AMARELO,standart,gwm,146348.93
HGL9583,2012,BRANCO,off road,gm,119319.42
NBO2556,1995,VERMELHO,off road,ford,206040.25
DMR9768,1991,VERMELHO,standart,ford,108498.49
ICL4435,2012,VERDE,luxo,vw,226482.94
VBT4974,2012,VERMELHO,off road,gm,198707.90
EYS4553,2018,LARANJA,standart,vw,103800.54
NMJ5524,2018,VERMELHO,luxo,cherry,207027.01
ZSS4212,2016,AMARELO,off road,ford,121452.46
VZM0635,2019,BRANCO,standart,gm,107078.12
PTZ7323,1999,PRETO,off road,vw,145155.88
QUO8037,2021,AMARELO,off road,cherry,145084.96
NPX5493,1994,PRETO,luxo,gm,133676.27
KXN3318,2000,VERDE,standart,fiat,117771.94
CXB9409,2003,PRETO,off road,fiat,115112.88
ZCI8556,2017,AMARELO,standart,gm,142703.06
OHE0910,2012,BRANCO,luxo,fiat,201139.04
CBP1668,2008,PRETO,standart,gwm,105226.96
ZAQ2747,1994,PRETO,standart,cherry,111916.61
DQW8669,2002,PRETO,luxo,ford,123774.01
WXK6186,2021,LARANJA,off road,vw,135645.67
ILR3049,2002,LARANJA,luxo,gm,195785.96
GUJ1662,2012,PRETO,standart,cherry,113086.14
ZNV8958,2017,AZUL,standart,ford,86798.44
ABQ0100,2012,VERDE,luxo,gm,167651.89
HUK1131,2008,VERDE,standart,gm,104279.00
VLI2878,1993,AMARELO,luxo,vw,186869.69
OHX1959,1991,VERDE,standart,fiat,133572.10
JNL2635,1990,VERMELHO,standart,gwm,96318.87
ZBQ4308,1997,LARANJA,off road,cherry,108229.65
WHF1635,2010,VERMELHO,standart,ford,85064.30
IVY5313,2007,BRANCO,off road,cherry,142088.74
IXU5936,1991,VERMELHO,luxo,cherry,232016.16
MUM5886,2009,VERMELHO,off road,vw,122294.18
CXC4487,2006,LARANJA,off road,fiat,135755.47
PBK2905,2024,PRETO,off road,fiat,140855.59
WKC8100,2000,LARANJA,standart,ford,72363.56
EGF1158,2014,BRANCO,off road,vw,115160.08
SQL4804,2013,PRETO,off road,fiat,165020.91
BVI8364,2000,AMARELO,off road,fiat,150856.04
KGZ8012,1995,VERMELHO,standart,vw,118036.53
GLX7467,1998,PRETO,standart,gm,82882.72
OGV8776,2015,AZUL,standart,vw,146113.80
LJG6426,1993,LARANJA,off road,ford,157695.81
HWP7967,2001,PRETO,standart,cherry,133583.32
UXH6429,1990,BRANCO,luxo,vw,211638.93
HVY4386,2021,VERDE,luxo,vw,246721.01
GYU7588,1995,LARANJA,luxo,ford,169778.63
DRF4340,1994,AZUL,off road,cherry,184092.50
YHP2416,1992,LARANJA,standart,vw,140309.23
OEI1859,2002,AZUL,standart,cherry,102452.16
TVB4768,2024,VERDE,standart,vw,120754.44
BCC2230,2012,VERMELHO,standart,vw,136503.27
WZA5912,2021,VERDE,off road,gm,163398.22
IPM9232,2024,LARANJA,off road,gwm,147754.39
KRY2209,2022,LARANJA,luxo,fiat,187986.65
TRR4593,2021,PRETO,standart,ford,75899.91
JBL6653,2012,PRETO,luxo,vw,140211.19
ZJF8444,2012,BRANCO,standart,ford,77298.42
ZSS1138,1992,PRETO,standart,cherry,111069.44
